country,countryCode,city,isp,org,as,query,valid
Japan,JP,Tokyo,Cyberverse LLC,Cyberverse JP,AS216211 CYBERVERSE LLC,212.135.212.40,True
Japan,JP,Tokyo,Oracle Corporation,Oracle Cloud Infrastructure (ap-tokyo-1),AS31898 Oracle Corporation,193.123.166.79,True
Japan,JP,Osaka,Oracle Corporation,Oracle Cloud Infrastructure (ap-osaka-1),AS31898 Oracle Corporation,168.138.36.146,True
Japan,JP,Tokyo,"Alibaba (US) Technology Co., Ltd.",Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",8.216.5.125,True
Japan,JP,Tokyo,Oracle Corporation,Oracle Cloud Infrastructure (ap-tokyo-1),AS31898 Oracle Corporation,140.83.34.214,True
Japan,JP,Osaka,Oracle Corporation,Oracle Cloud Infrastructure (ap-osaka-1),AS31898 Oracle Corporation,138.2.55.219,True
Japan,JP,Tokyo,Amazon Technologies Inc.,AWS EC2 (ap-northeast-1),"AS16509 Amazon.com, Inc.",3.112.89.102,True
Japan,JP,Tokyo,Oracle Corporation,Oracle Cloud Infrastructure (ap-tokyo-1),AS31898 Oracle Corporation,150.230.107.25,True
Japan,JP,Tokyo,Akile LTD,Akile LTD,AS61112 AkileCloud Network,38.207.130.231,True
Japan,JP,Tokyo,"DDPS Networks, LLC",,"AS18526 DDPS Networks, LLC",74.113.96.137,True
Japan,JP,Osaka,Ace Data Centers II,Evoxt,AS149440 Evoxt Sdn. Bhd.,136.0.11.126,True
Japan,JP,Tokyo,SUN Network Company,Enterprise network,AS400464 VMISS Inc.,102.134.50.93,True
Japan,JP,Minamishinagawa,The Constant Company,"Vultr Holdings, LLC","AS20473 The Constant Company, LLC",45.76.208.123,True
Japan,JP,Minamishinagawa,"The Constant Company, LLC","Choopa, LLC","AS20473 The Constant Company, LLC",167.179.110.68,True
