country,countryCode,city,isp,org,as,query,valid
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.238.49,True
Taiwan,TW,Taipei,WAP.AC LLC,Ipxo Limited,AS401443 WAP.AC LLC,85.237.207.19,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.238.222,True
Taiwan,TW,Taipei,ONEPROVIDER,Oneprovider.com,"AS136258 BrainStorm Network, Inc",223.165.4.57,True
Taiwan,TW,Taipei,Lamhosting LLC,Lamhosting LLC,AS46829 Lamhosting LLC,167.253.153.147,True
Taiwan,TW,Neihu District,Cogent Communications,PEG TECH INC,AS139659 LUCIDACLOUD LIMITED,38.55.193.222,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.238.248,True
Taiwan,TW,Neihu District,Cogent Communications,PEG TECH INC,AS139659 LUCIDACLOUD LIMITED,38.55.199.249,True
Taiwan,TW,Taipei,Lamhosting LLC,Lamhosting LLC,AS46829 Lamhosting LLC,167.253.153.125,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.239.197,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.238.145,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.239.92,True
Taiwan,TW,Neihu District,VMISS Inc.,Telkom SA LTD.,AS967 VMISS Inc.,45.221.112.56,True
Taiwan,TW,Neihu District,Cogent Communications,PEG TECH INC,AS139659 LUCIDACLOUD LIMITED,38.55.193.78,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.238.44,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.238.69,True
Taiwan,TW,Neihu District,Cogent Communications,PEG TECH INC,AS139659 LUCIDACLOUD LIMITED,38.55.193.199,True
Taiwan,TW,Taipei,"Chunghwa Telecom Co., Ltd.",Chunghwa Telecom Co. Ltd.,AS3462 Data Communication Business Group,125.228.236.138,True
Taiwan,TW,Taipei,Lamhosting LLC,Lamhosting LLC,AS46829 Lamhosting LLC,167.253.153.47,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.239.211,True
Taiwan,TW,Neihu District,Cogent Communications,PEG TECH INC,AS139659 LUCIDACLOUD LIMITED,38.55.193.36,True
Taiwan,TW,Taipei,Lamhosting LLC,Lamhosting LLC,AS46829 Lamhosting LLC,167.253.153.44,True
Taiwan,TW,Taipei,Lamhosting LLC,Lamhosting LLC,AS46829 Lamhosting LLC,167.253.153.58,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.239.151,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.239.238,True
Taiwan,TW,Neihu District,Cogent Communications,PEG TECH INC,AS139659 LUCIDACLOUD LIMITED,38.55.199.219,True
Taiwan,TW,Taichung,"Chunghwa Telecom Co., Ltd.",Chunghwa Telecom Co. Ltd.,AS3462 Data Communication Business Group,114.33.57.170,True
Taiwan,TW,Taipei,Akile LTD,Private Customer,AS61112 AkileCloud Network,145.79.148.60,True
Taiwan,TW,Taoyuan,Acck LLC,Akile LTD,AS401615 ACCK LLC,45.196.239.87,True
Taiwan,TW,Taipei,Lamhosting LLC,Lamhosting LLC,AS46829 Lamhosting LLC,167.253.153.161,True
Taiwan,TW,Taipei,Lamhosting LLC,Lamhosting LLC,AS46829 Lamhosting LLC,167.253.153.182,True
Taiwan,TW,Neihu District,Cogent Communications,PEG TECH INC,AS139659 LUCIDACLOUD LIMITED,38.55.193.19,True
Taiwan,TW,Neihu District,Cogent Communications,PEG TECH INC,AS139659 LUCIDACLOUD LIMITED,38.55.199.230,True
