country,countryCode,city,isp,org,as,query,valid
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.207,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.202,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.219,True
Armenia,AM,Arinj,Proitlab LLC,Proitlab LLC,AS216058 Proitlab LLC,2.56.204.183,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.83.143.99,True
Armenia,AM,Yerevan,G-Core Labs S.A.,GCL,AS202422 G-Core Labs S.A.,139.28.4.138,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,91.132.132.233,True
Armenia,AM,Gavar Municipality,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,45.129.185.59,True
Armenia,AM,Arinj,Proitlab LLC,Proitlab LLC,AS216058 Proitlab LLC,2.56.206.64,True
Armenia,AM,Yerevan,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,86.107.50.224,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.241,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.134,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.233,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,213.159.76.175,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.83.143.121,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.153,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.240,True
Armenia,AM,Yerevan,G-Core Labs S.A.,GCL,AS202422 G-Core Labs S.A.,139.28.4.51,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.20,True
Armenia,AM,Yerevan,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,185.234.57.169,True
Armenia,AM,Gavar Municipality,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,194.156.103.67,True
