country,countryCode,city,isp,org,as,query,valid
Lithuania,LT,Vilnius,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,94.131.14.101,True
Lithuania,LT,Šiauliai,Solid Systems LLC,Solid Lithuania,AS399275 Solid Systems LLC,130.12.171.173,True
Lithuania,LT,Vilnius,"UAB ""Interneto vizija""",InternetoVizija,AS212531 Interneto vizija,89.40.4.81,True
Lithuania,LT,Vilnius,"UAB ""Interneto vizija""",InternetoVizija,AS212531 Interneto vizija,89.40.9.69,True
Lithuania,LT,Vilnius,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,212.192.23.24,True
Lithuania,LT,Vilnius,"UAB ""Interneto vizija""",InternetoVizija,AS212531 Interneto vizija,62.77.155.238,True
Lithuania,LT,Vilnius,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.12.136.113,True
Lithuania,LT,Vilnius,"UAB ""Interneto vizija""",RACKRAY,AS212531 Interneto vizija,80.209.232.78,True
Lithuania,LT,Vilnius,"UAB ""Interneto vizija""",RACKRAY,AS212531 Interneto vizija,94.176.232.227,True
Lithuania,LT,Šiauliai,UAB Cherry Servers,Floating IPs,AS16125 UAB Cherry Servers,5.199.173.195,True
Lithuania,LT,Vilnius,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,103.231.72.240,True
Lithuania,LT,Vilnius,"UAB ""Interneto vizija""",RACKRAY,AS212531 Interneto vizija,80.208.227.162,True
Lithuania,LT,Šiauliai,"Informacines sistemos ir technologijos, UAB",BACLOUD-COM,"AS61272 Informacines sistemos ir technologijos, UAB",85.206.172.44,True
Lithuania,LT,Šiauliai,UAB Cherry Servers,VPS IPs,AS16125 UAB Cherry Servers,5.199.162.130,True
Lithuania,LT,Vilnius,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,147.45.217.40,True
Lithuania,LT,Vilnius,"UAB ""Interneto vizija""",InternetoVizija,AS212531 Interneto vizija,89.40.1.179,True
Lithuania,LT,Vilnius,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,212.192.23.56,True
Lithuania,LT,Vilnius,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,94.131.14.72,True
Lithuania,LT,Vilnius,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.12.136.53,True
Lithuania,LT,Vilnius,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,103.113.69.63,True
Lithuania,LT,Vilnius,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,94.131.13.110,True
